,depth,hid_feature,num_tfmamba,d_state,d_conv,expand,#parameters,model_size,#parameters(KB),exp_name
51,1,8,2,8,3,2,10529,91.400390625,10.2822265625,dep1_h8_tf2_ds8_dc3_ex2
52,1,8,2,8,3,3,14113,103.900390625,13.7822265625,dep1_h8_tf2_ds8_dc3_ex3
53,1,8,2,8,3,4,17697,119.400390625,17.2822265625,dep1_h8_tf2_ds8_dc3_ex4
54,1,8,2,16,1,2,13345,102.595703125,13.0322265625,dep1_h8_tf2_ds16_dc1_ex2
55,1,8,2,16,1,3,18337,120.595703125,17.9072265625,dep1_h8_tf2_ds16_dc1_ex3
56,1,8,2,16,1,4,23329,141.595703125,22.7822265625,dep1_h8_tf2_ds16_dc1_ex4
57,1,8,2,16,2,2,13473,103.095703125,13.1572265625,dep1_h8_tf2_ds16_dc2_ex2
58,1,8,2,16,2,3,18529,121.595703125,18.0947265625,dep1_h8_tf2_ds16_dc2_ex3
59,1,8,2,16,2,4,23585,142.595703125,23.0322265625,dep1_h8_tf2_ds16_dc2_ex4
60,1,8,2,16,3,2,13601,103.595703125,13.2822265625,dep1_h8_tf2_ds16_dc3_ex2
61,1,8,2,16,3,3,18721,122.095703125,18.2822265625,dep1_h8_tf2_ds16_dc3_ex3
62,1,8,2,16,3,4,23841,143.595703125,23.2822265625,dep1_h8_tf2_ds16_dc3_ex4
63,1,8,2,32,1,2,19489,126.595703125,19.0322265625,dep1_h8_tf2_ds32_dc1_ex2
64,1,8,2,32,1,3,27553,156.595703125,26.9072265625,dep1_h8_tf2_ds32_dc1_ex3
65,1,8,2,32,1,4,35617,189.595703125,34.7822265625,dep1_h8_tf2_ds32_dc1_ex4
66,1,8,2,32,2,2,19617,127.095703125,19.1572265625,dep1_h8_tf2_ds32_dc2_ex2
67,1,8,2,32,2,3,27745,157.595703125,27.0947265625,dep1_h8_tf2_ds32_dc2_ex3
68,1,8,2,32,2,4,35873,190.595703125,35.0322265625,dep1_h8_tf2_ds32_dc2_ex4
69,1,8,2,32,3,2,19745,127.595703125,19.2822265625,dep1_h8_tf2_ds32_dc3_ex2
70,1,8,2,32,3,3,27937,158.095703125,27.2822265625,dep1_h8_tf2_ds32_dc3_ex3
71,1,8,2,32,3,4,36129,191.595703125,35.2822265625,dep1_h8_tf2_ds32_dc3_ex4
72,1,8,3,4,1,2,11729,113.478515625,11.4541015625,dep1_h8_tf3_ds4_dc1_ex2
73,1,8,3,4,1,3,15761,126.978515625,15.3916015625,dep1_h8_tf3_ds4_dc1_ex3
74,1,8,3,4,1,4,19793,144.978515625,19.3291015625,dep1_h8_tf3_ds4_dc1_ex4
75,1,8,3,4,2,2,11921,114.228515625,11.6416015625,dep1_h8_tf3_ds4_dc2_ex2
76,1,8,3,4,2,3,16049,128.478515625,15.6728515625,dep1_h8_tf3_ds4_dc2_ex3
77,1,8,3,4,2,4,20177,146.478515625,19.7041015625,dep1_h8_tf3_ds4_dc2_ex4
78,1,8,3,4,3,2,12113,114.978515625,11.8291015625,dep1_h8_tf3_ds4_dc3_ex2
79,1,8,3,4,3,3,16337,129.228515625,15.9541015625,dep1_h8_tf3_ds4_dc3_ex3
80,1,8,3,4,3,4,20561,147.978515625,20.0791015625,dep1_h8_tf3_ds4_dc3_ex4
81,1,8,3,8,1,2,14033,122.478515625,13.7041015625,dep1_h8_tf3_ds8_dc1_ex2
82,1,8,3,8,1,3,19217,140.478515625,18.7666015625,dep1_h8_tf3_ds8_dc1_ex3
83,1,8,3,8,1,4,24401,162.978515625,23.8291015625,dep1_h8_tf3_ds8_dc1_ex4
84,1,8,3,8,2,2,14225,123.228515625,13.8916015625,dep1_h8_tf3_ds8_dc2_ex2
85,1,8,3,8,2,3,19505,141.978515625,19.0478515625,dep1_h8_tf3_ds8_dc2_ex3
86,1,8,3,8,2,4,24785,164.478515625,24.2041015625,dep1_h8_tf3_ds8_dc2_ex4
87,1,8,3,8,3,2,14417,123.978515625,14.0791015625,dep1_h8_tf3_ds8_dc3_ex2
88,1,8,3,8,3,3,19793,142.728515625,19.3291015625,dep1_h8_tf3_ds8_dc3_ex3
89,1,8,3,8,3,4,25169,165.978515625,24.5791015625,dep1_h8_tf3_ds8_dc3_ex4
90,1,8,3,16,1,2,18641,140.716796875,18.2041015625,dep1_h8_tf3_ds16_dc1_ex2
91,1,8,3,16,1,3,26129,167.716796875,25.5166015625,dep1_h8_tf3_ds16_dc1_ex3
92,1,8,3,16,1,4,33617,199.216796875,32.8291015625,dep1_h8_tf3_ds16_dc1_ex4
93,1,8,3,16,2,2,18833,141.466796875,18.3916015625,dep1_h8_tf3_ds16_dc2_ex2
94,1,8,3,16,2,3,26417,169.216796875,25.7978515625,dep1_h8_tf3_ds16_dc2_ex3
95,1,8,3,16,2,4,34001,200.716796875,33.2041015625,dep1_h8_tf3_ds16_dc2_ex4
96,1,8,3,16,3,2,19025,142.216796875,18.5791015625,dep1_h8_tf3_ds16_dc3_ex2
97,1,8,3,16,3,3,26705,169.966796875,26.0791015625,dep1_h8_tf3_ds16_dc3_ex3
98,1,8,3,16,3,4,34385,202.216796875,33.5791015625,dep1_h8_tf3_ds16_dc3_ex4
99,1,8,3,32,1,2,27857,176.716796875,27.2041015625,dep1_h8_tf3_ds32_dc1_ex2
100,1,8,3,32,1,3,39953,221.716796875,39.0166015625,dep1_h8_tf3_ds32_dc1_ex3
101,1,8,3,32,1,4,52049,271.216796875,50.8291015625,dep1_h8_tf3_ds32_dc1_ex4
102,1,8,3,32,2,2,28049,177.466796875,27.3916015625,dep1_h8_tf3_ds32_dc2_ex2
103,1,8,3,32,2,3,40241,223.216796875,39.2978515625,dep1_h8_tf3_ds32_dc2_ex3
104,1,8,3,32,2,4,52433,272.716796875,51.2041015625,dep1_h8_tf3_ds32_dc2_ex4
105,1,8,3,32,3,2,28241,178.216796875,27.5791015625,dep1_h8_tf3_ds32_dc3_ex2
106,1,8,3,32,3,3,40529,223.966796875,39.5791015625,dep1_h8_tf3_ds32_dc3_ex3
107,1,8,3,32,3,4,52817,274.216796875,51.5791015625,dep1_h8_tf3_ds32_dc3_ex4
108,1,8,4,4,1,2,14721,142.556640625,14.3759765625,dep1_h8_tf4_ds4_dc1_ex2
109,1,8,4,4,1,3,20097,160.556640625,19.6259765625,dep1_h8_tf4_ds4_dc1_ex3
110,1,8,4,4,1,4,25473,184.619140625,24.8759765625,dep1_h8_tf4_ds4_dc1_ex4
111,1,8,4,4,2,2,14977,143.556640625,14.6259765625,dep1_h8_tf4_ds4_dc2_ex2
112,1,8,4,4,2,3,20481,162.556640625,20.0009765625,dep1_h8_tf4_ds4_dc2_ex3
113,1,8,4,4,2,4,25985,186.619140625,25.3759765625,dep1_h8_tf4_ds4_dc2_ex4
114,1,8,4,4,3,2,15233,144.556640625,14.8759765625,dep1_h8_tf4_ds4_dc3_ex2
115,1,8,4,4,3,3,20865,163.556640625,20.3759765625,dep1_h8_tf4_ds4_dc3_ex3
116,1,8,4,4,3,4,26497,188.619140625,25.8759765625,dep1_h8_tf4_ds4_dc3_ex4
117,1,8,4,8,1,2,17793,154.556640625,17.3759765625,dep1_h8_tf4_ds8_dc1_ex2
118,1,8,4,8,1,3,24705,178.556640625,24.1259765625,dep1_h8_tf4_ds8_dc1_ex3
119,1,8,4,8,1,4,31617,208.619140625,30.8759765625,dep1_h8_tf4_ds8_dc1_ex4
120,1,8,4,8,2,2,18049,155.556640625,17.6259765625,dep1_h8_tf4_ds8_dc2_ex2
121,1,8,4,8,2,3,25089,180.556640625,24.5009765625,dep1_h8_tf4_ds8_dc2_ex3
122,1,8,4,8,2,4,32129,210.619140625,31.3759765625,dep1_h8_tf4_ds8_dc2_ex4
123,1,8,4,8,3,2,18305,156.556640625,17.8759765625,dep1_h8_tf4_ds8_dc3_ex2
124,1,8,4,8,3,3,25473,181.556640625,24.8759765625,dep1_h8_tf4_ds8_dc3_ex3
125,1,8,4,8,3,4,32641,212.619140625,31.8759765625,dep1_h8_tf4_ds8_dc3_ex4
126,1,8,4,16,1,2,23937,178.900390625,23.3759765625,dep1_h8_tf4_ds16_dc1_ex2
127,1,8,4,16,1,3,33921,214.900390625,33.1259765625,dep1_h8_tf4_ds16_dc1_ex3
128,1,8,4,16,1,4,43905,256.900390625,42.8759765625,dep1_h8_tf4_ds16_dc1_ex4
129,1,8,4,16,2,2,24193,179.900390625,23.6259765625,dep1_h8_tf4_ds16_dc2_ex2
130,1,8,4,16,2,3,34305,216.900390625,33.5009765625,dep1_h8_tf4_ds16_dc2_ex3
131,1,8,4,16,2,4,44417,258.900390625,43.3759765625,dep1_h8_tf4_ds16_dc2_ex4
132,1,8,4,16,3,2,24449,180.900390625,23.8759765625,dep1_h8_tf4_ds16_dc3_ex2
133,1,8,4,16,3,3,34689,217.900390625,33.8759765625,dep1_h8_tf4_ds16_dc3_ex3
134,1,8,4,16,3,4,44929,260.900390625,43.8759765625,dep1_h8_tf4_ds16_dc3_ex4
135,1,8,4,32,1,2,36225,226.900390625,35.3759765625,dep1_h8_tf4_ds32_dc1_ex2
136,1,8,4,32,1,3,52353,286.900390625,51.1259765625,dep1_h8_tf4_ds32_dc1_ex3
137,1,8,4,32,1,4,68481,352.900390625,66.8759765625,dep1_h8_tf4_ds32_dc1_ex4
138,1,8,4,32,2,2,36481,227.900390625,35.6259765625,dep1_h8_tf4_ds32_dc2_ex2
139,1,8,4,32,2,3,52737,288.900390625,51.5009765625,dep1_h8_tf4_ds32_dc2_ex3
140,1,8,4,32,2,4,68993,354.900390625,67.3759765625,dep1_h8_tf4_ds32_dc2_ex4
141,1,8,4,32,3,2,36737,228.900390625,35.8759765625,dep1_h8_tf4_ds32_dc3_ex2
142,1,8,4,32,3,3,53121,289.900390625,51.8759765625,dep1_h8_tf4_ds32_dc3_ex3
143,1,8,4,32,3,4,69505,356.900390625,67.8759765625,dep1_h8_tf4_ds32_dc3_ex4
144,1,16,1,4,1,2,19473,110.173828125,19.0166015625,dep1_h16_tf1_ds4_dc1_ex2
145,1,16,1,4,1,3,23697,126.673828125,23.1416015625,dep1_h16_tf1_ds4_dc1_ex3
146,1,16,1,4,1,4,27921,143.173828125,27.2666015625,dep1_h16_tf1_ds4_dc1_ex4
147,1,16,1,4,2,2,19601,110.673828125,19.1416015625,dep1_h16_tf1_ds4_dc2_ex2
148,1,16,1,4,2,3,23889,127.423828125,23.3291015625,dep1_h16_tf1_ds4_dc2_ex3
149,1,16,1,4,2,4,28177,144.173828125,27.5166015625,dep1_h16_tf1_ds4_dc2_ex4
150,1,16,1,4,3,2,19729,111.173828125,19.2666015625,dep1_h16_tf1_ds4_dc3_ex2
151,1,16,1,4,3,3,24081,128.173828125,23.5166015625,dep1_h16_tf1_ds4_dc3_ex3
152,1,16,1,4,3,4,28433,145.173828125,27.7666015625,dep1_h16_tf1_ds4_dc3_ex4
153,1,16,1,8,1,2,21009,116.173828125,20.5166015625,dep1_h16_tf1_ds8_dc1_ex2
154,1,16,1,8,1,3,26001,135.673828125,25.3916015625,dep1_h16_tf1_ds8_dc1_ex3
155,1,16,1,8,1,4,30993,155.173828125,30.2666015625,dep1_h16_tf1_ds8_dc1_ex4
156,1,16,1,8,2,2,21137,116.673828125,20.6416015625,dep1_h16_tf1_ds8_dc2_ex2
157,1,16,1,8,2,3,26193,136.423828125,25.5791015625,dep1_h16_tf1_ds8_dc2_ex3
158,1,16,1,8,2,4,31249,156.173828125,30.5166015625,dep1_h16_tf1_ds8_dc2_ex4
159,1,16,1,8,3,2,21265,117.173828125,20.7666015625,dep1_h16_tf1_ds8_dc3_ex2
160,1,16,1,8,3,3,26385,137.173828125,25.7666015625,dep1_h16_tf1_ds8_dc3_ex3
161,1,16,1,8,3,4,31505,157.173828125,30.7666015625,dep1_h16_tf1_ds8_dc3_ex4
162,1,16,1,16,1,2,24081,128.263671875,23.5166015625,dep1_h16_tf1_ds16_dc1_ex2
163,1,16,1,16,1,3,30609,153.763671875,29.8916015625,dep1_h16_tf1_ds16_dc1_ex3
164,1,16,1,16,1,4,37137,179.263671875,36.2666015625,dep1_h16_tf1_ds16_dc1_ex4
165,1,16,1,16,2,2,24209,128.763671875,23.6416015625,dep1_h16_tf1_ds16_dc2_ex2
166,1,16,1,16,2,3,30801,154.513671875,30.0791015625,dep1_h16_tf1_ds16_dc2_ex3
167,1,16,1,16,2,4,37393,180.263671875,36.5166015625,dep1_h16_tf1_ds16_dc2_ex4
168,1,16,1,16,3,2,24337,129.263671875,23.7666015625,dep1_h16_tf1_ds16_dc3_ex2
169,1,16,1,16,3,3,30993,155.263671875,30.2666015625,dep1_h16_tf1_ds16_dc3_ex3
170,1,16,1,16,3,4,37649,181.263671875,36.7666015625,dep1_h16_tf1_ds16_dc3_ex4
171,1,16,1,32,1,2,30225,152.263671875,29.5166015625,dep1_h16_tf1_ds32_dc1_ex2
172,1,16,1,32,1,3,39825,189.763671875,38.8916015625,dep1_h16_tf1_ds32_dc1_ex3
173,1,16,1,32,1,4,49425,227.263671875,48.2666015625,dep1_h16_tf1_ds32_dc1_ex4
174,1,16,1,32,2,2,30353,152.763671875,29.6416015625,dep1_h16_tf1_ds32_dc2_ex2
175,1,16,1,32,2,3,40017,190.513671875,39.0791015625,dep1_h16_tf1_ds32_dc2_ex3
